[LOG] System::create                           : Header version = 2.00.06. Current version = 2.00.06.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20006 (106220), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=192000, nAvgBytesPerSec=1536000, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 16384 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[WRN] SystemI::init                            : Output requires a sample rate of 192000Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000010D663BCEE8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFA486F8170
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFA486F8230
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 0000010DACDAFD48
[LOG] SystemI::createSoundInternal             : exinfo->initialseekpostype = 1
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Sample 0/1: name='Fly', format=2, channels=2, frequency=48000, lengthbytes=255040, lengthpcm=1006389, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.562341.
[LOG] SystemI::createSoundInternal             : Create name='', mode=0x02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             : exinfo->length             = 5047936
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 78272
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 00000007B791F4AC
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFA486F80A0
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFA486F8070
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFA486F8170
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFA486F8230
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 0000010DACDAFD48
[LOG] SystemI::createSoundInternal             : exinfo->initialseekpostype = 1
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Sample 0/1: name='Fly2', format=2, channels=2, frequency=48000, lengthbytes=254560, lengthpcm=1006389, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.630957.
[WRN] EventInstance::update                    : Event {7eafdd4e-914e-4e8f-8e46-f639326e25f6} waited 127 milliseconds for sample data to load.  Preload sample data to avoid this delay.
[LOG] SoundI::release                          :  (0000010D8F21DA18)
[LOG] SoundI::release                          :     Overheat (0000010DBEB36F38)
[LOG] SoundI::release                          :  (0000010D8857EEF8)
[LOG] SoundI::release                          :     Cooldown (0000010DBEB385F8)
[LOG] SoundI::release                          :  (0000010D88581458)
[LOG] SoundI::release                          :     Warning (0000010DBEB356D8)
[LOG] SoundI::release                          :  (0000010D8F21D5C8)
[LOG] SoundI::release                          :     AbsorbWhileCooldown (0000010DBEB351F8)
[LOG] SoundI::release                          :  (0000010D88581178)
[LOG] SoundI::release                          :     Fly (0000010DBEB35058)
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[LOG] Manager::finishLoadBank                  : Bank with guid {3da32ccd-25e7-4164-9bda-001597ce9b23} has already been loaded
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[ERR] assert                                   : assertion: '!mManager->masterBus()' failed
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[LOG] Manager::finishLoadBank                  : Bank with guid {3da32ccd-25e7-4164-9bda-001597ce9b23} has already been loaded
[LOG] SystemI::createSoundInternal             : Create name='', mode=0x02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             : exinfo->length             = 5047936
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 78272
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 00000007B791F4AC
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFA486F80A0
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFA486F8070
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFA486F8170
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFA486F8230
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 0000010D66A3C458
[LOG] SystemI::createSoundInternal             : exinfo->initialseekpostype = 1
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Sample 0/1: name='Yell', format=2, channels=2, frequency=48000, lengthbytes=6272, lengthpcm=32879, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=1.000000.
[WRN] EventInstance::update                    : Event {6ff18c17-7b94-45d4-a1bd-c81a869808e0} waited 129 milliseconds for sample data to load.  Preload sample data to avoid this delay.
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[LOG] Manager::finishLoadBank                  : Bank with guid {3da32ccd-25e7-4164-9bda-001597ce9b23} has already been loaded
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[ERR] assert                                   : assertion: '!mManager->masterBus()' failed
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[LOG] Manager::finishLoadBank                  : Bank with guid {3da32ccd-25e7-4164-9bda-001597ce9b23} has already been loaded
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {7ed09db0-8260-41ab-b0a6-ca5504100d94}
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[LOG] Manager::finishLoadBank                  : Bank with guid {3da32ccd-25e7-4164-9bda-001597ce9b23} has already been loaded
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[ERR] assert                                   : assertion: '!mManager->masterBus()' failed
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[LOG] Manager::finishLoadBank                  : Bank with guid {3da32ccd-25e7-4164-9bda-001597ce9b23} has already been loaded
[WRN] ObjectLookup::get                        : Lookup failed for EventModel: {7ed09db0-8260-41ab-b0a6-ca5504100d94}
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[LOG] Manager::finishLoadBank                  : Bank with guid {3da32ccd-25e7-4164-9bda-001597ce9b23} has already been loaded
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[ERR] assert                                   : assertion: '!mManager->masterBus()' failed
[LOG] Manager::readBank                        : fileversion = 123, compatVersion = 119 (oldest = 44, newest = 123)
[LOG] Manager::finishLoadBank                  : Bank with guid {3da32ccd-25e7-4164-9bda-001597ce9b23} has already been loaded
[LOG] SystemI::createSoundInternal             : Create name='', mode=0x02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             : exinfo->length             = 5047936
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 78272
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 00000007B791F4AC
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFA486F80A0
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFA486F8070
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFA486F8170
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFA486F8230
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 0000010D66A3C038
[LOG] SystemI::createSoundInternal             : exinfo->initialseekpostype = 1
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Sample 0/1: name='Attack2', format=2, channels=2, frequency=48000, lengthbytes=6848, lengthpcm=35197, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.960928.
[LOG] SystemI::createSoundInternal             : Create name='', mode=0x02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 224
[LOG] SystemI::createSoundInternal             : exinfo->length             = 5047936
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 78272
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 00000007B791F4AC
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFA486F80A0
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFA486F8070
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFA486F8170
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFA486F8230
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 0000010D66A3C038
[LOG] SystemI::createSoundInternal             : exinfo->initialseekpostype = 1
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Sample 0/1: name='Attack', format=2, channels=2, frequency=48000, lengthbytes=6944, lengthpcm=35197, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=1.000000.
[WRN] EventInstance::update                    : Event {f8edef35-4339-4b45-add3-f12b56c6b4d8} waited 126 milliseconds for sample data to load.  Preload sample data to avoid this delay.
[LOG] SoundI::release                          :  (0000010D8857F1D8)
[LOG] SoundI::release                          :     Fly2 (0000010DBEB37278)
